en-US,fr-FR,de-DE,it-IT,pt-PT,es-ES,ca-ES
API key,Clé API,API-Schlüssel,Chiave API,Chave API,Clave API,Clau API
API,API,API,API,API,API,API
Announcement,Actualité,Ankündigung,Annuncio,Anúncio,Anuncio,Comunicat
Analytics,Analyse,Analytics,Analytics,Análises,Analíticas,Anàlisis
Advanced reports,Rapports avancés,Erweiterte Berichte,Report avanzati,Relatórios avançados,Informes avanzados,Informes avançats
Action,Action,Aktion,Azione,Ação,Acción,Acció
Account manager,Gestionnaire de compte,Account Manager,Account manager,Gestor da conta,Account manager,Mànager del compte
2FA,2FA,2FA,2FA,2FA,A2F,A2F
Device,Appareil,Gerät,Dispositivo,Dispositivo,dispositivo,Dispositiu
Primo,Primo,Primo,Primo,Primo,Primo,Primo
Provisioning,Provisionnement,Bereitstellung,Provisioning,Aprovisionamento,aprovisionamiento,Aprovisionament
Enroll,Enrôler,Anmelden,Iscrivere,Inscrever,Inscribirse,Inscriure's
Enrollment,Enrôlement,Anmeldung,Iscrizione,Inscrição,Inscripción,inscripció
Security,Sécurité,Sicherheit,Sicurezza,Segurança,Seguridad,seguretat
Synchronization,Synchronisation,Synchronisierung,Sincronizzazione,Sincronização,Sincronización,sincronització
SAML,SAML,SAML,SAML,SAML,SAML,SAML
Authentication,Authentification,Authentifizierung,Autenticazione,Autenticação,Autenticación,autenticació
Provision,Provisionner,Bereitstellung,Fornire,Provisão,Provisionar,Aprovisionar
Manage,Gérer,Verwalten,Gestire,Gerir,Gestionar,gestionar
Policy enforcement,Application des politiques,Richtliniendurchsetzung,Applicazione delle politiche,Aplicação de políticas,Aplicación de políticas,aplicació de polítiques
Integration,Intégration,Integration,Integrazione,Integração,Integración,integració
Directory,Répertoire,Verzeichnis,Directory,Diretório,Directorio,directori
Autopilot,Autopilot,Autopilot,Autopilot,Autopilot,Autopilot,Autopilot
Provisioner,Service de provisionnement,Provisioner,Fornitore,Provisionador,Proveedor,proveïdor
Identity,Identité,Identität,Identità,Identidade,Identidad,identitat
System,Système,System,Sistema,Sistema,Sistema,sistema
Portal,Portail,Portal,Portale,Portal,Portal,portal
Agent,Agent,Agent,Agente,Agente,Agente,agent
Software,Logiciel,Software,Applicazione desktop,Aplicação de desktop,Programa,programa
Activation,Activation,Aktivierung,Attivazione,Ativação,Activación,activació
Token,Token,Token,Token,Token,Token,testimoni
Certificate,Certificat,Zertifikat,Certificato,Certificado,Certificado,certificat
Import,Importer,Import,Importare,Importar,Importar,importar
Deployment,Déploiement,Bereitstellung,Distribuzione,Implementação,Despliegue,desplegament
Encryption,Chiffrement,Verschlüsselung,Crittografia,Encriptação,Cifrado,xifratge
Serialize,Sérialiser,Serialisieren,Serializzare,Serializar,Serializar,serialitzar
Cloud,Cloud,Cloud,Cloud,Nuvem,Nube,núvol
Restore,Restaurer,Wiederherstellen,Ripristinare,Restaurar,Restaurar,restaurar
Installation,Installation,Installation,Installazione,Instalação,Instalación,instal·lació
Company,Entreprise,Unternehmen,Azienda,Empresa,Empresa,empresa
authenticate,S'authentifier,Authentifizieren,autenticarsi,Autenticar,Autenticar,autenticar
Profiling,Profilage,Profilerstellung,Profilazione,Análise de perfil,Perfilado,Perfilatge
Console,Console,Konsole,Console,Consola,Consola,Consola
Admin,Admin,Administrator,Admin,Admin,Administrador,Administrador
Primo,Primo,Primo,Primo,Primo,Primo,Primo
MDM,MDM,MDM,MDM,MDM,MDM,MDM
SCIM,SCIM,SCIM,SCIM,SCIM,SCIM,SCIM
SaaS,SaaS,SaaS,SaaS,SaaS,SaaS,SaaS
SSO,SSO,SSO,SSO,SSO,SSO,SSO
Zero Trust,Zero Trust,Zero Trust,Zero Trust,Zero Trust,Zero Trust,Zero Trust
Fleet,Fleet,Fleet,Fleet,Fleet,Fleet,Fleet
HRIS,SIRH,HR-System,Sistema HR,HRIS,SIRH,SIRH
Entity,Entité,Einheit,Entità legale,Entidade,Entidad,Entitat
Identity Management,Gestion des identités,Identitätsmanagement,Gestione delle identità,Gestão de identidade,Gestión de identidades,Gestió d'identitats
Platform,Plateforme,Plattform,Piattaforma,Plataforma,Plataforma,Plataforma
Device Management,Gestion des appareils,Geräteverwaltung,Gestione dei dispositivi,Gestão de dispositivos,Gestión de dispositivos,Gestió de dispositius
Lifecycle Management,Gestion du cycle de vie,Lebenszyklus-Management,Gestione del ciclo di vita,Gestão do ciclo de vida,Gestión del ciclo de vida,Gestió del cicle de vida
Access Management,Gestion des accès,Zugriffsmanagement,Gestione degli accessi,Gestão de acesso,Gestión de acceso,Gestió d'accés
Security,Sécurité,Sicherheit,Sicurezza,Segurança,Seguridad,Seguretat
User Management,Gestion des utilisateurs,Benutzerverwaltung,Gestione utenti,Gestão de Utilizadores,Gestión de usuarios,Gestió d'usuaris
App Access,Accès aux applications,App-Zugriff,Accesso all'app,Acesso à app,Acceso a la aplicación,Accés a l'aplicació
Configuration,Configuration,Konfiguration,Configurazione,Configuração,Configuración,Configuració
Provisioned,Provisionné,Bereitgestellt,Configurato,Provisionado,Provisionado,Aprovisionat
MDM Control,Politique MDM,MDM-Steuerung,Politica MDM,Controlo MDM,Control MDM,Control MDM
Directory Service,Répertoire,Verzeichnis,Directory,Diretório,Directorio,directori
Single Sign-On,Single Sign-On,Single Sign-On,Single Sign-On,Início de sessão único,Inicio de sesión único,Inici de sessió únic
Data Tracking,Suivi de données,Datenverfolgung,Tracciamento dei dati,Acompanhamento de dados,Seguimiento de datos,Seguiment de dades
Device Tracking,Suivi des appareils,Geräteverfolgung,Tracciamento dei dispositivi,Acompanhamento de dispositivos,Seguimiento de dispositivos,Seguiment de dispositius
User Authentication,Authentification de l'utilisateur,Benutzerauthentifizierung,Autenticazione Utente,Autenticação de utilizador,Autenticación de usuario,Autenticació d'usuari
Access Control,Contrôle des accès,Zugriffskontrolle,Controllo degli accessi,Controlo de acesso,Control de acceso,Control d'accés
Compliance Reporting,Rapports de conformité,Konformitätsberichte,Report di conformità,Relatórios de conformidade,Informes de cumplimiento,Informes de compliment
Built-in Automation,Automatisation native,Integrierte Automatisierung,Automazione integrata,Automação integrada,Automatización incorporada,Automatització incorporada
Device Orchestration,Orchestration des appareils,Geräte-Orchestrierung,Orchestrazione dei dispositivi,Orquestração de Dispositivos,Orquestación de dispositivos,Orquestració de dispositius
Identity Tracking,Suivi des identités,Identitätsverfolgung,Monitoraggio dell'identità,Acompanhamento de identidade,Seguimiento de identidad,Seguiment d'identitat
SaaS Orchestration,Orchestration des SaaS,SaaS-Orchestrierung,Orchestrazione SaaS,Orquestração de SaaS,Orquestación SaaS,Orquestració SaaS
Zero-Touch Deployment,Déploiement Zero-Touch,Zero-Touch-Bereitstellung,Deployment Zero-Touch,Implementação sem intervenção,Despliegue sin intervención,Desplegament sense intervenció
Identity & Access Management,Gestion des identités et des accès,Identitäts- und Zugriffsmanagement,Gestione delle identità e degli accessi,Gestão de identidade e acesso,Gestión de identidad y acceso,Gestió d'identitat i accés
Identity Provider ,Fournisseur d'identité,Identity Provider,Provider di identità,Fornecedor de identidade,Proveedor de identidad,Proveïdor d'identitat
Role Based Access Control,Gestion des accès par rôle,Rollenbasierte Zugriffskontrolle,Controllo degli Accessi Basato su Ruoli,Controlo de Acesso Baseado em Funções,Control de acceso basado en roles,Control d'accés basat en rols
Least privilege,Moindre privilège,Minimaler Zugriff,Privilegio minimo,Privilégio mínimo,Mínimos privilegios,Privilegi mínim
Multi-factor authentication,Authentification multi-facteurs,Mehrfaktor-Authentifizierung,Autenticazione a più fattori,Autenticação multifator (MFA),Autenticación multifactor,Autenticació multifactor
Licence,Licence,Lizenz,Licenza,Licença,Licencia,Llicència
Seat,Licence utilisateur,Benutzerlizenz,Licenza utente,Licença atribuída,Licencia de usuario,Llicència d'usuari
Subscription,Abonnement,Abonnement,Abbonamento,Subscrição,Suscripción,Subscripció
SaaS Stack,Parc applicatif,SaaS-Stack,Stack SaaS,Apps SaaS,Pila SaaS,Pila SaaS
Shadow IT,Applications non autorisées,Schatten-IT,Sistemi non autorizzati,Ferramentas não autorizadas,Aplicaciones no autorizadas,Aplicacions no autoritzades
Cost optimization,Optimisation des coûts,Kostenoptimierung,Ottimizzazione dei costi,Otimização de custos,Optimización de costes,Optimització de costos
Policies,Politiques d’accès,Richtlinien,Politiche,Políticas,Políticas,Polítiques
Endpoint,Endpoint,Endpunkt,Endpoint,Endpoint,Endpoint,Endpoint
Attributes,Caractéristiques,Attribute,Attributi,Atributos,Atributos,Atributs
Playbook,Playbook,Playbook,Playbook,Modelo de procedimento,Playbook,Playbook
EDR,EDR,EDR,EDR,EDR,EDR,EDR
Remote Control,Gestion des accès à distance,Fernsteuerung,Controllo remoto,Controlo remoto,Control remoto,Control remot
Bypass code,Code iCloud,Wiederherstellungscode,Codice bypass,Código de recuperação,Código de omisión,Codi de recuperació
SecureToken,SecureToken,SecureToken,SecureToken,Token seguro,SecureToken,SecureToken
OS,OS,OS,OS,OS,OS,OS
Unenroll,Retirer du MDM,Abmelden,Annulla l'iscrizione,Desinscrever,Cancelar inscripción,Cancel·lar la inscripció
